experiment_id,description,model,features,validation_method,cv_accuracy,kaggle_score,notes,filename,cv_scores,cv_std,cv_kaggle_gap,changes,submission_file
EXP-001,XGBoost baseline with engineered features,XGBClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5-fold StratifiedKFold,0.83722,0.76076,"Highest local CV so far, but large CV-to-Kaggle gap. May be fitting training-specific nonlinear patterns.",,"0.8659, 0.8483, 0.8034, 0.8258, 0.8427",0.0212110725801407,0.0764599999999999,Initial engineered-feature baseline,submission_xgb_baseline.csv
EXP-002,Logistic regression using identical engineered features,LogisticRegression,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5-fold StratifiedKFold,0.82828,0.76555,Lower CV than XGBoost but better Kaggle score and smaller validation-to-leaderboard gap. Current leader.,,"0.8436, 0.8258, 0.7978, 0.8315, 0.8427",0.0166624608026545,0.06273,Replaced XGBClassifier with LogisticRegression; all other modeling steps held constant,submission_logistic.csv
EXP-003,Random forest using identical engineered features,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5-fold StratifiedKFold,0.8316399999999999,0.78708,"Best Kaggle score so far. Random forest differed from logistic regression on only 15 of 418 passengers. In 12 of the 15 cases, logistic predicted survival while random forest predicted death; 10 of those passengers were male and 7 were first-class males. This suggests random forest captured interactions between sex, class, title, fare, and deck that additive logistic regression could not represent. Models agreed on 96.4% of test predictions.",,"0.8380, 0.8202, 0.8202, 0.8315, 0.8483",0.01076821247933,0.0445599999999999,"Replaced logistic regression with a regularized random forest; features, preprocessing, and validation folds held constant",submission_random_forest.csv
EXP-004,Logistic regression with targeted categorical interaction features,LogisticRegression,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson, Sex_Pclass, Sex_Title, Title_Pclass",5-fold StratifiedKFold,0.8339000000000001,0.76315,Interaction features raised mean CV accuracy from 0.8283 to 0.8339 but reduced Kaggle accuracy from 0.76555 to 0.76315. The CV standard deviation and CV-to-Kaggle gap also increased. The targeted interactions therefore fit the training folds better without transferring to the hidden test passengers. Random Forest remains the best model at 0.78708.,,"0.8268, 0.8539, 0.7978, 0.8427, 0.8483",0.0201911861959618,0.07075,"Added Sex_Pclass, Sex_Title, and Title_Pclass interaction features to baseline logistic regression; model settings, preprocessing approach, and validation folds held constant",submission_logistic_interactions.csv
EXP-005,Random forest with title-and-class-based age imputation,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5-fold StratifiedKFold,0.8294,0.78229,"Grouped age imputation reduced mean CV accuracy from 0.8316 to 0.8294 and Kaggle accuracy from 0.78708 to 0.78229. It changed only 4 of 418 test predictions versus EXP-003. Although CV variability decreased slightly, the changed predictions did not improve hidden-test performance. Reject EXP-005; EXP-003 remains champion.",,"0.8380, 0.8146, 0.8258, 0.8315, 0.8371",0.0085983719389195,0.0471099999999999,"Replaced overall median age imputation with fold-safe grouped median imputation using Title and Pclass; random forest settings, features, and validation folds held constant",submission_rf_grouped_age.csv
EXP-006,Compared ordinary stratified validation with family-group-aware validation,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5-fold StratifiedGroupKFold using surname and family size,0.82704,,"No Kaggle submission was needed because the final trained model and test predictions did not change. Group-aware mean accuracy was 0.8270 versus 0.8316 for ordinary validation, a reduction of only 0.0046. This does not support family leakage as the main cause of the CV-to-Kaggle gap. However, grouped validation was much less stable, with SD 0.0437 versus 0.0108. Only 12 of 891 out-of-fold predictions differed. Retain StratifiedKFold as the primary comparison method and use grouped validation as a secondary robustness check.",,"0.7486, 0.8588, 0.8276, 0.8245, 0.8757",0.0436717116678519,,"Held the EXP-003 Random Forest, features, and preprocessing constant; replaced StratifiedKFold with StratifiedGroupKFold. Likely family members were assigned to the same fold using surname and family size, while solo passengers received individual groups.",
EXP-007,Conservative Random Forest hyperparameter tuning with repeated CV and group-aware robustness validation,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson","GridSearchCV with 5-fold StratifiedKFold, followed by 5x5 RepeatedStratifiedKFold and 5-fold StratifiedGroupKFold robustness validation",0.82012,,"The tuned candidate improved repeated stratified CV by 0.0079 and had slightly better stability, but grouped CV declined from 0.8270 to 0.8201, a loss of 0.0069. This exceeded the predefined maximum acceptable grouped-CV decline of 0.005, so no Kaggle submission was created. Reject EXP-007; EXP-003 remains champion.",,"0.7371, 0.8588, 0.8218, 0.8298, 0.8531",0.0437553836687555,,"Searched max_depth, min_samples_leaf, and max_features while holding the feature set, preprocessing, number of trees, min_samples_split, metric, and random seed constant. The selected candidate used max_depth=5, max_features=0.75, min_samples_leaf=6, and min_samples_split=8.",
EXP-008,Random forest with fold-safe ticket-group and ticket-prefix features,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson, TicketGroupSize, SharedTicket, TicketPrefix",5x5 RepeatedStratifiedKFold with secondary 5-fold StratifiedGroupKFold robustness validation,0.82134,,"Ticket features reduced repeated CV mean from 0.8271 to 0.8224, a decline of 0.0047. Group-aware CV also declined from 0.8270 to 0.8213, a loss of 0.0057. Stability remained nearly unchanged. Only 5 of 418 test predictions differed from EXP-003. Both predefined performance checks failed, so no Kaggle submission was made. Reject EXP-008; EXP-003 remains champion.",,"0.7314, 0.8531, 0.8276, 0.8245, 0.8701",0.0480096073718583,,"Added fold-safe TicketGroupSize, SharedTicket, and TicketPrefix features while holding the EXP-003 Random Forest parameters, original features, preprocessing, metric, and random seed constant.",
EXP-009,Random forest with fold-safe ticket-group size features but without ticket prefix,RandomForestClassifier,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson, TicketGroupSize, SharedTicket",5x5 RepeatedStratifiedKFold with secondary 5-fold StratifiedGroupKFold robustness validation,0.82574,,"Ticket-group features improved repeated CV mean from 0.8271 to 0.8301, a gain of 0.0029. This suggests TicketGroupSize and SharedTicket contain mild predictive signal and that TicketPrefix was the harmful component of EXP-008. However, group-aware CV declined slightly from 0.8270 to 0.8257, a loss of 0.0013, so the predefined robustness requirement was not met. Only 3 of 418 test predictions changed, all from death to survival. No Kaggle submission was made. Reject EXP-009; EXP-003 remains champion.",,"0.7371, 0.8475, 0.8276, 0.8351, 0.8814",0.04799927499452466,,"Added fold-safe TicketGroupSize and SharedTicket features to the EXP-003 Random Forest while excluding TicketPrefix. Model parameters, original features, preprocessing, metric, and random seed were held constant.",
EXP-010,Probability ensemble combining Random Forest and logistic regression,RandomForestClassifier + LogisticRegression,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked, Title, FamilySize, IsAlone, Deck, FarePerPerson",5x5 RepeatedStratifiedKFold with secondary 5-fold StratifiedGroupKFold robustness validation,0.8329860021342037,0.77751,"The ensemble passed all predefined local criteria. Repeated CV improved from 0.8271 to 0.8330, a gain of 0.0058, while group-aware CV improved from 0.8270 to 0.8348, a gain of 0.0078. Repeated-CV variability also declined slightly. However, Kaggle accuracy was 0.77751, below EXP-003's 0.78708 by 0.00957. The ensemble changed only 6 of 418 test predictions, and those changes were collectively harmful on the leaderboard. Reject EXP-010 as champion; retain EXP-003.",,"0.8380, 0.8371, 0.8258, 0.8371, 0.8483, 0.8603, 0.8258, 0.7921, 0.8371, 0.8371, 0.8715, 0.8258, 0.8652, 0.7978, 0.7978, 0.8212, 0.7921, 0.8371, 0.8315, 0.8708, 0.8212, 0.8034, 0.8652, 0.8427, 0.8427",0.0231464123336723,0.0554760021342036,"Blended Random Forest and logistic regression survival probabilities using weights selected from a predetermined grid. The selected blend used 60% Random Forest and 40% logistic regression, with the feature set, individual model parameters, preprocessing, threshold, metric, and random seed held constant.",submission_rf_logistic_ensemble_exp010.csv
